method,energy_score,n,term1_mean,term2_mean
fHet,0.033375599007200274,700,0.13523286777044244,0.10185726876324216
aCRN,0.07455887971494421,700,0.2414953886536884,0.16693650893874418
aHet,0.07928441837289858,700,0.1690293091239463,0.0897448907510477
fgCRN,0.0934872964564816,706,0.27462501474668644,0.18113771829020484
fCRN,0.14388286854147325,706,0.38359531831649324,0.23971244977502
